Year,Harvested Area (acres),Marketed Production ('000 lbs),Average Price (cents/lb),Average Yield (lbs/acre),Vegetable,Dataset
1979,3201.0,109595.0,4.906245722888817,34237.73820681037,Cabbage,aggregated_cabbage_production_and_yields
1980,3136.0,107404.0,6.972738445495512,34248.72448979592,Cabbage,aggregated_cabbage_production_and_yields
1981,3893.0,134652.0,6.164854588123459,34588.23529411764,Cabbage,aggregated_cabbage_production_and_yields
1982,4121.0,151772.0,5.422014600848642,36828.925018199465,Cabbage,aggregated_cabbage_production_and_yields
1983,4293.0,145920.0,9.84484649122807,33990.21663172606,Cabbage,aggregated_cabbage_production_and_yields
1984,4976.0,171084.0,5.496481260667275,34381.832797427654,Cabbage,aggregated_cabbage_production_and_yields
1985,4626.0,159666.0,7.347775982363183,34514.915693904026,Cabbage,aggregated_cabbage_production_and_yields
1986,3678.0,93880.0,11.617064337452067,25524.7417074497,Cabbage,aggregated_cabbage_production_and_yields
1987,3540.0,98432.0,11.429210013003901,27805.649717514127,Cabbage,aggregated_cabbage_production_and_yields
1988,3493.0,73080.0,12.422276956759717,20921.84368737475,Cabbage,aggregated_cabbage_production_and_yields
1989,4080.0,85680.0,12.80345471521942,21000.0,Cabbage,aggregated_cabbage_production_and_yields
1990,4040.0,104990.0,10.260024764263264,25987.62376237624,Cabbage,aggregated_cabbage_production_and_yields
1991,4555.0,82042.0,10.65795568123644,18011.416026344676,Cabbage,aggregated_cabbage_production_and_yields
1992,4565.0,96049.0,10.693500192610022,21040.306681270537,Cabbage,aggregated_cabbage_production_and_yields
1993,4405.0,101380.0,8.445452752022096,23014.755959137343,Cabbage,aggregated_cabbage_production_and_yields
1994,4525.0,117160.0,9.857459883919427,25891.712707182323,Cabbage,aggregated_cabbage_production_and_yields
1995,4725.0,121085.0,10.343973241937482,25626.455026455027,Cabbage,aggregated_cabbage_production_and_yields
1996,4775.0,104500.0,8.803827751196172,21884.8167539267,Cabbage,aggregated_cabbage_production_and_yields
1997,4375.0,84900.0,9.740871613663133,19405.714285714286,Cabbage,aggregated_cabbage_production_and_yields
1998,4450.0,131616.0,9.62648918064673,29576.629213483146,Cabbage,aggregated_cabbage_production_and_yields
1999,5080.0,123980.0,11.138893369898371,24405.51181102362,Cabbage,aggregated_cabbage_production_and_yields
2000,4705.0,98146.0,10.392680292625272,20859.936238044633,Cabbage,aggregated_cabbage_production_and_yields
2001,5900.0,102956.0,14.10311200901356,17450.169491525423,Cabbage,aggregated_cabbage_production_and_yields
2002,5300.0,91500.0,16.28415300546448,17264.150943396227,Cabbage,aggregated_cabbage_production_and_yields
2003,4600.0,95200.0,12.815126050420167,20695.652173913044,Cabbage,aggregated_cabbage_production_and_yields
2004,4500.0,110200.0,10.707803992740473,24488.888888888887,Cabbage,aggregated_cabbage_production_and_yields
2005,4050.0,89200.0,13.004484304932735,22024.69135802469,Cabbage,aggregated_cabbage_production_and_yields
2006,4600.0,104000.0,16.009615384615383,22608.695652173916,Cabbage,aggregated_cabbage_production_and_yields
2007,3750.0,93500.0,15.828877005347595,24933.333333333332,Cabbage,aggregated_cabbage_production_and_yields
2008,3785.0,103700.0,14.223722275795565,27397.622192866576,Cabbage,aggregated_cabbage_production_and_yields
2009,4705.0,126544.0,13.151156909849536,26895.642933049945,Cabbage,aggregated_cabbage_production_and_yields
2010,4886.0,120858.0,14.789256813781462,24735.57101923864,Cabbage,aggregated_cabbage_production_and_yields
2011,5849.0,145798.0,18.233446274983194,24926.99606770388,Cabbage,aggregated_cabbage_production_and_yields
2012,6394.0,166116.0,17.908569914999156,25979.98123240538,Cabbage,aggregated_cabbage_production_and_yields
2013,6594.0,158266.0,24.606674838562924,24001.51653017895,Cabbage,aggregated_cabbage_production_and_yields
2014,6492.0,151730.0,27.900876557042114,23371.84226740604,Cabbage,aggregated_cabbage_production_and_yields
2015,6206.0,152498.0,25.158362732626,24572.671608121174,Cabbage,aggregated_cabbage_production_and_yields
2016,5231.0,137948.0,23.289935337953434,26371.248327279678,Cabbage,aggregated_cabbage_production_and_yields
2017,5069.0,93892.0,24.54202700975589,18522.78555928191,Cabbage,aggregated_cabbage_production_and_yields
2018,5904.0,128961.0,28.297702406153796,21842.98780487805,Cabbage,aggregated_cabbage_production_and_yields
2019,5275.0,122379.0,27.159888542968975,23199.810426540284,Cabbage,aggregated_cabbage_production_and_yields
2020,5964.0,125154.0,28.64311168640235,20984.909456740443,Cabbage,aggregated_cabbage_production_and_yields
2021,6089.0,120222.0,28.97888905524779,19744.128756774513,Cabbage,aggregated_cabbage_production_and_yields
2022,6419.0,121290.0,31.361200428724544,18895.466583579997,Cabbage,aggregated_cabbage_production_and_yields
2023,5159.0,109986.0,33.876129689233174,21319.24791626284,Cabbage,aggregated_cabbage_production_and_yields
2024,5689.0,134340.0,35.56200684829537,23613.991914220427,Cabbage,aggregated_cabbage_production_and_yields
2025,5835.0,154320.0,34.46215655780197,26447.300771208225,Cabbage,aggregated_cabbage_production_and_yields
