Year,Harvested Area (acres),Marketed Production ('000 lbs),Average Price (cents/lb),Average Yield (lbs/acre),Farm Value ($'000),Vegetable,Dataset
1979,4520.0,260413.0,3.2325575144098027,57613.49557522123,,Carrot,aggregated_carrot_production_and_yields
1980,3806.0,129661.0,6.1352295601607265,34067.52496058854,,Carrot,aggregated_carrot_production_and_yields
1981,4695.0,230481.0,5.132961068374399,49090.73482428115,,Carrot,aggregated_carrot_production_and_yields
1982,5021.0,304349.0,3.4114125559801414,60615.21609241187,,Carrot,aggregated_carrot_production_and_yields
1983,4700.0,282564.0,8.169512039750286,60120.0,,Carrot,aggregated_carrot_production_and_yields
1984,4907.0,315735.0,3.1459610116078354,64343.79457917261,,Carrot,aggregated_carrot_production_and_yields
1985,5328.0,263995.0,4.9873671849845636,49548.61111111112,,Carrot,aggregated_carrot_production_and_yields
1986,5902.0,246162.0,7.13270122927178,41708.23449678075,,Carrot,aggregated_carrot_production_and_yields
1987,6096.0,291816.0,4.988965649587412,47870.07874015748,,Carrot,aggregated_carrot_production_and_yields
1988,6203.0,298257.0,4.5379655800199155,48082.70191842657,,Carrot,aggregated_carrot_production_and_yields
1989,6040.0,272158.0,6.263273539635065,45059.27152317881,,Carrot,aggregated_carrot_production_and_yields
1990,5675.0,303070.0,4.7800838090210185,53404.40528634361,,Carrot,aggregated_carrot_production_and_yields
1991,5650.0,251149.0,7.287307534571111,44451.150442477876,,Carrot,aggregated_carrot_production_and_yields
1992,5775.0,266810.0,7.102432442562123,46200.8658008658,,Carrot,aggregated_carrot_production_and_yields
1993,6040.0,302574.0,6.2467363355741075,50095.03311258278,,Carrot,aggregated_carrot_production_and_yields
1994,5997.0,297273.0,5.068741527148446,49570.28514257129,,Carrot,aggregated_carrot_production_and_yields
1995,6800.0,247370.0,6.409427173869103,36377.94117647059,,Carrot,aggregated_carrot_production_and_yields
1996,7100.0,266320.0,5.729948933613698,37509.85915492958,,Carrot,aggregated_carrot_production_and_yields
1997,7400.0,253880.0,6.0185914605325355,34308.10810810811,,Carrot,aggregated_carrot_production_and_yields
1998,7490.0,335550.0,6.399940396364179,44799.73297730307,,Carrot,aggregated_carrot_production_and_yields
1999,7450.0,286180.0,6.995597176602139,38413.42281879194,,Carrot,aggregated_carrot_production_and_yields
2000,8145.0,249400.0,6.301122694466719,30620.012277470843,,Carrot,aggregated_carrot_production_and_yields
2001,8870.0,311080.0,6.464575028931464,35071.02593010147,,Carrot,aggregated_carrot_production_and_yields
2002,8550.0,298892.0,8.321065803032534,34958.12865497076,,Carrot,aggregated_carrot_production_and_yields
2003,9630.0,336890.0,5.936952714535902,34983.38525441329,,Carrot,aggregated_carrot_production_and_yields
2004,9030.0,325140.0,6.596235467798486,36006.64451827243,,Carrot,aggregated_carrot_production_and_yields
2005,9500.0,354560.0,7.576996841155234,37322.10526315789,,Carrot,aggregated_carrot_production_and_yields
2006,9740.0,387200.0,7.3391012396694215,39753.59342915811,,Carrot,aggregated_carrot_production_and_yields
2007,10130.0,270348.0,7.806974714072233,26687.857847976305,,Carrot,aggregated_carrot_production_and_yields
2008,8250.0,262444.0,7.149715748883572,31811.39393939394,,Carrot,aggregated_carrot_production_and_yields
2009,7775.0,366822.0,9.914072765537508,47179.67845659164,,Carrot,aggregated_carrot_production_and_yields
2010,8400.0,503733.0,8.503711291497678,59968.21428571428,,Carrot,aggregated_carrot_production_and_yields
2011,9774.0,501932.0,7.453001601810604,51353.79578473501,,Carrot,aggregated_carrot_production_and_yields
2012,9817.0,504102.0,6.982713815854728,51349.90322909239,,Carrot,aggregated_carrot_production_and_yields
2013,9152.0,372147.0,9.108766159608972,40662.91520979021,,Carrot,aggregated_carrot_production_and_yields
2014,8971.0,363701.0,9.823728832200077,40541.85709508416,,Carrot,aggregated_carrot_production_and_yields
2015,9619.0,434033.0,10.505652795985558,45122.465952801744,,Carrot,aggregated_carrot_production_and_yields
2016,9201.0,417094.0,10.3468282929028,45331.3770242365,,Carrot,aggregated_carrot_production_and_yields
2017,8805.0,434602.0,10.080717530061987,49358.54628052243,,Carrot,aggregated_carrot_production_and_yields
2018,8498.0,412317.0,10.63,48519.29865850788,,Carrot,aggregated_carrot_production_and_yields
2019,8417.0,412143.0,14.49351317382559,48965.545918973505,,Carrot,aggregated_carrot_production_and_yields
2020,9194.0,386765.0,14.329890243429471,42067.10898412008,,Carrot,aggregated_carrot_production_and_yields
2021,8846.0,351341.0,14.335360803322128,39717.49943477278,,Carrot,aggregated_carrot_production_and_yields
2022,8678.0,353861.0,16.607368429976745,40776.79188753169,,Carrot,aggregated_carrot_production_and_yields
2023,7816.0,344000.0,17.453779069767442,44012.28249744115,,Carrot,aggregated_carrot_production_and_yields
2024,7756.0,343802.0,18.430375623178456,44327.23053120165,,Carrot,aggregated_carrot_production_and_yields
2025,8001.0,363378.0,18.220420608842584,45416.572928383954,,Carrot,aggregated_carrot_production_and_yields
