Year,Harvested Area (acres),Marketed Production ('000 lbs),Average Price (cents/lb),Average Yield (lbs/acre),Vegetable,Dataset
1979,5560.0,100144.0,9.160808435852372,18011.510791366905,Cucumber,aggregated_cucumber_production_and_yields
1980,5088.0,87206.0,8.907643969451644,17139.544025157233,Cucumber,aggregated_cucumber_production_and_yields
1981,5274.0,94108.0,9.236940536404981,17843.76185058779,Cucumber,aggregated_cucumber_production_and_yields
1982,5073.0,95612.0,10.448270091620298,18847.230435639663,Cucumber,aggregated_cucumber_production_and_yields
1983,4352.0,78983.0,10.05887342845929,18148.667279411766,Cucumber,aggregated_cucumber_production_and_yields
1984,4861.0,87300.0,10.60389461626575,17959.26764040321,Cucumber,aggregated_cucumber_production_and_yields
1985,4771.0,82565.0,11.28904499485254,17305.5963110459,Cucumber,aggregated_cucumber_production_and_yields
1986,5399.0,89530.0,11.257120518262036,16582.70050009261,Cucumber,aggregated_cucumber_production_and_yields
1987,5440.0,81722.0,11.33219940774822,15022.426470588234,Cucumber,aggregated_cucumber_production_and_yields
1988,5074.0,79035.0,12.294426519896248,15576.468269609775,Cucumber,aggregated_cucumber_production_and_yields
1989,4725.0,82054.0,13.890852365515391,17365.925925925923,Cucumber,aggregated_cucumber_production_and_yields
1990,4405.0,81426.0,14.642743104168202,18484.90351872872,Cucumber,aggregated_cucumber_production_and_yields
1991,3462.0,57902.0,13.635107595592553,16725.014442518775,Cucumber,aggregated_cucumber_production_and_yields
1992,3360.0,56934.0,13.109916745705554,16944.642857142855,Cucumber,aggregated_cucumber_production_and_yields
1993,3325.0,63502.0,10.539825517306541,19098.345864661653,Cucumber,aggregated_cucumber_production_and_yields
1994,3305.0,69484.0,10.8586149329342,21023.903177004537,Cucumber,aggregated_cucumber_production_and_yields
1995,3540.0,74835.0,15.427273334669605,21139.830508474577,Cucumber,aggregated_cucumber_production_and_yields
1996,3020.0,66760.0,12.979328939484722,22105.960264900663,Cucumber,aggregated_cucumber_production_and_yields
1997,3500.0,66480.0,14.255415162454874,18994.285714285714,Cucumber,aggregated_cucumber_production_and_yields
1998,3865.0,77720.0,14.796706124549667,20108.667529107377,Cucumber,aggregated_cucumber_production_and_yields
1999,5630.0,98345.0,13.783110478417814,17468.02841918295,Cucumber,aggregated_cucumber_production_and_yields
2000,7600.0,103240.0,13.759201859744286,13584.21052631579,Cucumber,aggregated_cucumber_production_and_yields
2001,8350.0,86570.0,15.293981748873744,10367.664670658682,Cucumber,aggregated_cucumber_production_and_yields
2002,7600.0,107100.0,14.836601307189543,14092.105263157895,Cucumber,aggregated_cucumber_production_and_yields
2003,6875.0,117360.0,15.48227675528289,17070.545454545452,Cucumber,aggregated_cucumber_production_and_yields
2004,6600.0,109580.0,16.744843949625842,16603.0303030303,Cucumber,aggregated_cucumber_production_and_yields
2005,4900.0,70040.0,15.219874357509994,14293.877551020409,Cucumber,aggregated_cucumber_production_and_yields
2006,3520.0,41480.0,17.61571841851495,11784.090909090908,Cucumber,aggregated_cucumber_production_and_yields
2007,2750.0,49170.0,19.735611145007116,17880.0,Cucumber,aggregated_cucumber_production_and_yields
2008,2290.0,42873.0,21.703636321227812,18721.83406113537,Cucumber,aggregated_cucumber_production_and_yields
2009,3830.0,90986.0,24.09161849075682,23756.13577023499,Cucumber,aggregated_cucumber_production_and_yields
2010,3156.0,73056.0,21.57796758650898,23148.28897338403,Cucumber,aggregated_cucumber_production_and_yields
2011,2965.0,74033.0,18.455283454675616,24968.971332209105,Cucumber,aggregated_cucumber_production_and_yields
2012,3690.0,74006.0,20.383482420344297,20055.826558265584,Cucumber,aggregated_cucumber_production_and_yields
2013,3803.0,75464.0,23.97434538322909,19843.28161977386,Cucumber,aggregated_cucumber_production_and_yields
2014,3882.0,97665.0,20.476117339886347,25158.423493044822,Cucumber,aggregated_cucumber_production_and_yields
2015,4308.0,70098.0,23.977859568033324,16271.58774373259,Cucumber,aggregated_cucumber_production_and_yields
2016,4514.0,92722.0,20.395375423308383,20540.983606557376,Cucumber,aggregated_cucumber_production_and_yields
2017,3775.0,88794.0,23.018447192377863,23521.58940397351,Cucumber,aggregated_cucumber_production_and_yields
2018,3731.0,72882.0,25.1,19534.17314392924,Cucumber,aggregated_cucumber_production_and_yields
2019,3943.0,88229.0,21.43399562502125,22376.10956124778,Cucumber,aggregated_cucumber_production_and_yields
2020,3880.0,88462.0,25.38491103524677,22799.484536082473,Cucumber,aggregated_cucumber_production_and_yields
2021,4061.0,80556.0,34.57967128457222,19836.493474513667,Cucumber,aggregated_cucumber_production_and_yields
2022,4057.0,101502.0,33.09885519497153,25018.979541533154,Cucumber,aggregated_cucumber_production_and_yields
2023,3998.0,99731.0,27.714552145270776,24945.222611305653,Cucumber,aggregated_cucumber_production_and_yields
2024,4055.0,99070.0,25.986676087614818,24431.565967940813,Cucumber,aggregated_cucumber_production_and_yields
2025,3483.0,103450.0,25.777670372160465,29701.40683318978,Cucumber,aggregated_cucumber_production_and_yields
