Year,Harvested Area (acres),Marketed Production ('000 lbs),Average Price (cents/lb),Average Yield (lbs/acre),Farm Value ($'000),Vegetable,Dataset
1979,5070.0,141994.0,5.56713663957632,28006.70611439842,,Dry Onion,aggregated_onion_production_and_yields
1980,5015.0,132950.0,10.15344114328695,26510.468594217346,,Dry Onion,aggregated_onion_production_and_yields
1981,5330.0,179665.0,8.768263156430024,33708.25515947468,,Dry Onion,aggregated_onion_production_and_yields
1982,5601.0,174868.0,5.515874831301324,31220.853419032315,,Dry Onion,aggregated_onion_production_and_yields
1983,5681.0,168891.0,11.385094528423659,29729.096989966558,,Dry Onion,aggregated_onion_production_and_yields
1984,5560.0,211261.0,5.1268336323315715,37996.58273381295,,Dry Onion,aggregated_onion_production_and_yields
1985,5865.0,223032.0,5.015872161842247,38027.62148337596,,Dry Onion,aggregated_onion_production_and_yields
1986,5620.0,181707.0,12.201291089501229,32332.206405693953,,Dry Onion,aggregated_onion_production_and_yields
1987,5597.0,185548.0,11.851219091555825,33151.33107021619,,Dry Onion,aggregated_onion_production_and_yields
1988,6042.0,182988.0,10.778794237873521,30285.99801390268,,Dry Onion,aggregated_onion_production_and_yields
1989,6180.0,196840.0,9.959865880918512,31851.132686084144,,Dry Onion,aggregated_onion_production_and_yields
1990,6075.0,180362.0,7.513223406260742,29689.218106995886,,Dry Onion,aggregated_onion_production_and_yields
1991,5935.0,155885.0,12.69333162267056,26265.374894692504,,Dry Onion,aggregated_onion_production_and_yields
1992,5880.0,144360.0,11.393737877528402,24551.020408163266,,Dry Onion,aggregated_onion_production_and_yields
1993,5645.0,188439.0,13.914847775672765,33381.576616474755,,Dry Onion,aggregated_onion_production_and_yields
1994,5800.0,108643.0,10.954226227184447,18731.55172413793,,Dry Onion,aggregated_onion_production_and_yields
1995,6190.0,182315.0,8.630666703233416,29453.150242326334,,Dry Onion,aggregated_onion_production_and_yields
1996,5985.0,190590.0,9.565034891652239,31844.611528822057,,Dry Onion,aggregated_onion_production_and_yields
1997,5600.0,183846.0,11.093523927635086,32829.642857142855,,Dry Onion,aggregated_onion_production_and_yields
1998,5370.0,173886.0,12.882003151490057,32381.005586592182,,Dry Onion,aggregated_onion_production_and_yields
1999,5575.0,162876.0,12.748962400844816,29215.42600896861,,Dry Onion,aggregated_onion_production_and_yields
2000,6150.0,196686.0,10.280345321985296,31981.463414634145,,Dry Onion,aggregated_onion_production_and_yields
2001,6620.0,230626.0,10.60374805962901,34837.76435045317,,Dry Onion,aggregated_onion_production_and_yields
2002,5700.0,136000.0,11.470588235294118,23859.649122807015,,Dry Onion,aggregated_onion_production_and_yields
2003,5800.0,155200.0,12.757731958762886,26758.62068965517,,Dry Onion,aggregated_onion_production_and_yields
2004,5400.0,168500.0,11.008902077151335,31203.7037037037,,Dry Onion,aggregated_onion_production_and_yields
2005,5200.0,125200.0,13.019169329073483,24076.923076923078,,Dry Onion,aggregated_onion_production_and_yields
2006,6700.0,221000.0,9.773755656108598,32985.07462686567,,Dry Onion,aggregated_onion_production_and_yields
2007,6500.0,212000.0,10.09433962264151,32615.384615384613,,Dry Onion,aggregated_onion_production_and_yields
2008,5490.0,185000.0,11.513513513513514,33697.632058287796,,Dry Onion,aggregated_onion_production_and_yields
2009,6495.0,237540.0,11.792540203755157,36572.74826789838,,Dry Onion,aggregated_onion_production_and_yields
2010,6077.0,185000.0,16.82864864864865,30442.65262465032,,Dry Onion,aggregated_onion_production_and_yields
2011,6173.0,227270.0,13.337440049280591,36816.782763648145,,Dry Onion,aggregated_onion_production_and_yields
2012,6237.0,213630.0,14.895847961428638,34252.04425204425,,Dry Onion,aggregated_onion_production_and_yields
2013,6036.0,215176.0,15.575157080715321,35648.77402253148,,Dry Onion,aggregated_onion_production_and_yields
2014,5947.0,260006.0,14.855041806727536,43720.531360349756,,Dry Onion,aggregated_onion_production_and_yields
2015,5795.0,222282.0,16.157853537398438,38357.549611734255,,Dry Onion,aggregated_onion_production_and_yields
2016,5742.0,199004.0,17.34940001206006,34657.610588645075,,Dry Onion,aggregated_onion_production_and_yields
2017,5639.0,202290.0,16.31716842157299,35873.381805284625,,Dry Onion,aggregated_onion_production_and_yields
2018,5660.0,203769.0,17.06343948294392,36001.59010600707,,Dry Onion,aggregated_onion_production_and_yields
2019,5529.0,212755.0,18.492632370567083,38479.833604630134,,Dry Onion,aggregated_onion_production_and_yields
2020,5568.0,190065.0,,34135.237068965514,,Dry Onion,aggregated_onion_production_and_yields
2021,5316.0,181053.0,21.18937548673593,34058.12641083521,,Dry Onion,aggregated_onion_production_and_yields
2022,5433.0,231512.0,20.94621445108677,42612.18479661329,,Dry Onion,aggregated_onion_production_and_yields
2023,5452.0,235734.0,22.035429764056097,43238.07776962582,,Dry Onion,aggregated_onion_production_and_yields
2024,5676.0,240353.0,22.902564145236383,42345.48978153629,,Dry Onion,aggregated_onion_production_and_yields
2025,5194.0,202686.0,27.819385650710952,39023.10358105506,,Dry Onion,aggregated_onion_production_and_yields
