Year,Harvested Area (acres),Marketed Production ('000 lbs),Average Price (cents/lb),Average Yield (lbs/acre),Vegetable,Dataset
1979,1571.0,17915.0,12.24113871057773,11403.5646085296,Pepper,aggregated_pepper_production_and_yields
1980,1510.0,13095.0,15.021000381825125,8672.185430463576,Pepper,aggregated_pepper_production_and_yields
1981,1790.0,18765.0,13.791100452970955,10483.240223463687,Pepper,aggregated_pepper_production_and_yields
1982,2189.0,24662.0,13.599870245722165,11266.331658291458,Pepper,aggregated_pepper_production_and_yields
1983,2383.0,25238.0,14.708376258023614,10590.851867394042,Pepper,aggregated_pepper_production_and_yields
1984,1758.0,19025.0,15.130091984231274,10821.956769055745,Pepper,aggregated_pepper_production_and_yields
1985,3382.0,37797.0,20.514061962589622,11175.931401537551,Pepper,aggregated_pepper_production_and_yields
1986,3755.0,35777.0,21.90848869385359,9527.829560585886,Pepper,aggregated_pepper_production_and_yields
1987,4047.0,45320.0,18.88217122683142,11198.41858166543,Pepper,aggregated_pepper_production_and_yields
1988,4150.0,41500.0,21.9,10000.0,Pepper,aggregated_pepper_production_and_yields
1989,4400.0,35690.0,20.005603810591204,8111.363636363636,Pepper,aggregated_pepper_production_and_yields
1990,3810.0,35381.0,35.60950792798395,9286.351706036745,Pepper,aggregated_pepper_production_and_yields
1991,3732.0,41469.0,35.6386698497673,11111.736334405145,Pepper,aggregated_pepper_production_and_yields
1992,3680.0,31257.0,33.880410787983486,8493.75,Pepper,aggregated_pepper_production_and_yields
1993,3260.0,38568.0,27.74839244969923,11830.674846625767,Pepper,aggregated_pepper_production_and_yields
1994,3252.0,47787.0,26.392115010358463,14694.649446494464,Pepper,aggregated_pepper_production_and_yields
1995,3290.0,45630.0,26.419022572868727,13869.300911854105,Pepper,aggregated_pepper_production_and_yields
1996,3500.0,41215.0,22.710178333131143,11775.714285714284,Pepper,aggregated_pepper_production_and_yields
1997,3150.0,41800.0,22.727272727272727,13269.84126984127,Pepper,aggregated_pepper_production_and_yields
1998,2665.0,45340.0,18.372298191442436,17013.13320825516,Pepper,aggregated_pepper_production_and_yields
1999,2625.0,42280.0,26.194418164616838,16106.666666666666,Pepper,aggregated_pepper_production_and_yields
2000,3200.0,40760.0,21.516192345436703,12737.5,Pepper,aggregated_pepper_production_and_yields
2001,4100.0,38350.0,25.56714471968709,9353.658536585366,Pepper,aggregated_pepper_production_and_yields
2002,3000.0,50900.0,19.791748526522593,16966.666666666664,Pepper,aggregated_pepper_production_and_yields
2003,2950.0,40800.0,27.414215686274513,13830.508474576272,Pepper,aggregated_pepper_production_and_yields
2004,2500.0,42280.0,29.742194891201514,16912.0,Pepper,aggregated_pepper_production_and_yields
2005,2900.0,50640.0,25.710900473933652,17462.06896551724,Pepper,aggregated_pepper_production_and_yields
2006,4000.0,67160.0,27.24538415723645,16790.0,Pepper,aggregated_pepper_production_and_yields
2007,3800.0,60764.0,27.274372984003687,15990.526315789473,Pepper,aggregated_pepper_production_and_yields
2008,2880.0,45692.0,27.805742799614812,15865.277777777777,Pepper,aggregated_pepper_production_and_yields
2009,2810.0,49472.0,29.736012289780078,17605.693950177938,Pepper,aggregated_pepper_production_and_yields
2010,3103.0,54629.0,30.6082849768438,17605.220754108926,Pepper,aggregated_pepper_production_and_yields
2011,3799.0,73380.0,28.60997547015536,19315.609370887076,Pepper,aggregated_pepper_production_and_yields
2012,4099.0,78586.0,31.936986231644315,19171.993169065627,Pepper,aggregated_pepper_production_and_yields
2013,4131.0,81750.0,30.596941896024465,19789.39724037763,Pepper,aggregated_pepper_production_and_yields
2014,4469.0,88406.0,29.370178494672306,19782.054150816737,Pepper,aggregated_pepper_production_and_yields
2015,4607.0,87212.0,33.54698894647525,18930.32342088127,Pepper,aggregated_pepper_production_and_yields
2016,4699.0,92100.0,33.88925081433225,19599.914875505427,Pepper,aggregated_pepper_production_and_yields
2017,4180.0,98949.0,41.17373596499206,23672.00956937799,Pepper,aggregated_pepper_production_and_yields
2018,4070.0,90180.0,44.078509647371924,22157.248157248156,Pepper,aggregated_pepper_production_and_yields
2019,3507.0,87955.0,46.91148882951509,25079.840319361276,Pepper,aggregated_pepper_production_and_yields
2020,3941.0,94610.0,46.84071451220801,24006.597310327328,Pepper,aggregated_pepper_production_and_yields
2021,4198.0,102223.0,50.04157577061914,24350.404954740352,Pepper,aggregated_pepper_production_and_yields
2022,4076.0,103539.0,52.79170167762872,25402.109911678115,Pepper,aggregated_pepper_production_and_yields
2023,4077.0,97728.0,60.52513097576948,23970.56659308315,Pepper,aggregated_pepper_production_and_yields
2024,3775.0,89426.0,67.09234450830854,23689.006622516557,Pepper,aggregated_pepper_production_and_yields
2025,3750.0,95186.0,61.43130292269872,25382.933333333334,Pepper,aggregated_pepper_production_and_yields
