Year,Harvested Area (acres),Marketed Production ('000 lbs),Average Price (cents/lb),Average Yield (lbs/acre),Vegetable,Dataset
1979,1200.0,28100.0,1.398576512455516,23416.666666666668,Pumpkin,aggregated_pumpkin_production_and_yields
1980,1100.0,29400.0,1.5,26727.272727272728,Pumpkin,aggregated_pumpkin_production_and_yields
1981,750.0,19900.0,1.6080402010050252,26533.333333333336,Pumpkin,aggregated_pumpkin_production_and_yields
1982,1100.0,28500.0,1.6912280701754385,25909.09090909091,Pumpkin,aggregated_pumpkin_production_and_yields
1983,1300.0,32000.0,2.0,24615.384615384617,Pumpkin,aggregated_pumpkin_production_and_yields
1984,1450.0,39000.0,1.7461538461538462,26896.55172413793,Pumpkin,aggregated_pumpkin_production_and_yields
1985,1086.0,22036.0,1.8242875294971865,20290.97605893186,Pumpkin,aggregated_pumpkin_production_and_yields
1986,1151.0,32154.0,1.810039186415376,27935.708079930497,Pumpkin,aggregated_pumpkin_production_and_yields
1987,1416.0,38320.0,1.837160751565762,27062.146892655368,Pumpkin,aggregated_pumpkin_production_and_yields
1988,1200.0,27868.0,1.9520597100617196,23223.333333333332,Pumpkin,aggregated_pumpkin_production_and_yields
1989,1236.0,29492.0,2.1056557710565578,23860.84142394822,Pumpkin,aggregated_pumpkin_production_and_yields
1990,4540.0,79826.0,11.25573121539348,17582.819383259914,Pumpkin,aggregated_pumpkin_production_and_yields
1991,3883.0,39100.0,17.49616368286445,10069.53386556786,Pumpkin,aggregated_pumpkin_production_and_yields
1992,3180.0,44837.0,15.168276200459442,14099.685534591195,Pumpkin,aggregated_pumpkin_production_and_yields
1993,3380.0,79376.0,12.835113888328967,23484.023668639053,Pumpkin,aggregated_pumpkin_production_and_yields
1994,3222.0,49814.0,13.616653952704057,15460.58348851645,Pumpkin,aggregated_pumpkin_production_and_yields
1995,3635.0,48725.0,15.474602360184711,13404.401650618982,Pumpkin,aggregated_pumpkin_production_and_yields
1996,5415.0,52810.0,10.42416209051316,9752.539242843952,Pumpkin,aggregated_pumpkin_production_and_yields
1997,3840.0,42300.0,11.914893617021278,11015.625,Pumpkin,aggregated_pumpkin_production_and_yields
1998,3395.0,33625.0,12.907063197026023,9904.270986745214,Pumpkin,aggregated_pumpkin_production_and_yields
1999,4535.0,51035.0,15.72450279220143,11253.583241455348,Pumpkin,aggregated_pumpkin_production_and_yields
2000,5415.0,44096.0,16.56612844702467,8143.305632502308,Pumpkin,aggregated_pumpkin_production_and_yields
2001,7025.0,61552.0,15.052313491031974,8761.850533807828,Pumpkin,aggregated_pumpkin_production_and_yields
2002,6472.0,59200.0,17.73310810810811,9147.095179233622,Pumpkin,aggregated_pumpkin_production_and_yields
2003,6100.0,62740.0,18.42684093082563,10285.245901639344,Pumpkin,aggregated_pumpkin_production_and_yields
2004,6225.0,72920.0,17.5891387822271,11714.0562248996,Pumpkin,aggregated_pumpkin_production_and_yields
2005,6100.0,88600.0,12.604966139954854,14524.590163934427,Pumpkin,aggregated_pumpkin_production_and_yields
2006,7520.0,92040.0,12.911777488048676,12239.36170212766,Pumpkin,aggregated_pumpkin_production_and_yields
2007,6650.0,94058.0,13.13657530459929,14144.06015037594,Pumpkin,aggregated_pumpkin_production_and_yields
2008,6690.0,81750.0,17.60244648318043,12219.730941704036,Pumpkin,aggregated_pumpkin_production_and_yields
2009,6745.0,90948.0,19.49685534591195,13483.765752409192,Pumpkin,aggregated_pumpkin_production_and_yields
2010,7677.0,82552.0,21.161207481345095,10753.15878598411,Pumpkin,aggregated_pumpkin_production_and_yields
2011,7878.0,116752.0,18.790256269699874,14820.00507743082,Pumpkin,aggregated_pumpkin_production_and_yields
2012,8207.0,131570.0,19.348635707228095,16031.436578530524,Pumpkin,aggregated_pumpkin_production_and_yields
2013,8935.0,108836.0,21.428571428571427,12180.861779518746,Pumpkin,aggregated_pumpkin_production_and_yields
2014,8938.0,156510.0,17.028943837454474,17510.62877601253,Pumpkin,aggregated_pumpkin_production_and_yields
2015,8423.0,153396.0,16.95741740332212,18211.563575923068,Pumpkin,aggregated_pumpkin_production_and_yields
2016,9585.0,161088.0,17.06458581644815,16806.25978090767,Pumpkin,aggregated_pumpkin_production_and_yields
2017,8435.0,157322.0,17.283660263663062,18651.096621221102,Pumpkin,aggregated_pumpkin_production_and_yields
2018,8176.0,153356.0,19.035446933931503,18756.84931506849,Pumpkin,aggregated_pumpkin_production_and_yields
2019,8093.0,170821.0,19.943683739118725,21107.25318176202,Pumpkin,aggregated_pumpkin_production_and_yields
2020,9332.0,216135.0,19.06910033081176,23160.63009001286,Pumpkin,aggregated_pumpkin_production_and_yields
2021,9954.0,150112.0,25.671498614367938,15080.570624874423,Pumpkin,aggregated_pumpkin_production_and_yields
2022,11541.0,161446.0,27.52251526826307,13988.9091066632,Pumpkin,aggregated_pumpkin_production_and_yields
2023,11385.0,160202.0,29.20937316637745,14071.321914800175,Pumpkin,aggregated_pumpkin_production_and_yields
2024,11266.0,158826.0,29.32265498092252,14097.816438842536,Pumpkin,aggregated_pumpkin_production_and_yields
2025,11506.0,168264.0,31.598559406646697,14624.022249261256,Pumpkin,aggregated_pumpkin_production_and_yields
