Year,Harvested Area (acres),Marketed Production ('000 lbs),Average Price (cents/lb),Average Yield (lbs/acre),Vegetable,Dataset
1979,1365.0,12782.0,20.466280707244564,9364.102564102564,Radish,aggregated_radishes_production_and_yields
1980,1385.0,12233.0,21.81803318891523,8832.49097472924,Radish,aggregated_radishes_production_and_yields
1981,545.0,3125.0,22.400000000000002,5733.94495412844,Radish,aggregated_radishes_production_and_yields
1982,449.0,2540.0,21.5748031496063,5657.015590200445,Radish,aggregated_radishes_production_and_yields
1983,430.0,3934.0,26.309100152516525,9148.837209302324,Radish,aggregated_radishes_production_and_yields
1984,401.0,3740.0,33.82352941176471,9326.683291770572,Radish,aggregated_radishes_production_and_yields
1985,475.0,4788.0,33.81370091896408,10080.0,Radish,aggregated_radishes_production_and_yields
1986,553.0,6351.0,26.9248937175248,11484.629294755876,Radish,aggregated_radishes_production_and_yields
1987,562.0,5741.0,31.492771294199617,10215.302491103203,Radish,aggregated_radishes_production_and_yields
1988,558.0,4422.0,36.29579375848033,7924.731182795699,Radish,aggregated_radishes_production_and_yields
1989,520.0,5000.0,34.0,9615.384615384615,Radish,aggregated_radishes_production_and_yields
1990,500.0,4190.0,32.81622911694511,8380.0,Radish,aggregated_radishes_production_and_yields
1991,489.0,4706.0,34.870378240543985,9623.721881390593,Radish,aggregated_radishes_production_and_yields
1992,520.0,4850.0,29.690721649484537,9326.923076923076,Radish,aggregated_radishes_production_and_yields
1993,435.0,3631.0,39.080143211236575,8347.12643678161,Radish,aggregated_radishes_production_and_yields
1994,492.0,3936.0,41.38719512195122,8000.0,Radish,aggregated_radishes_production_and_yields
1995,665.0,7175.0,43.13588850174216,10789.473684210525,Radish,aggregated_radishes_production_and_yields
1996,670.0,4810.0,38.87733887733888,7179.10447761194,Radish,aggregated_radishes_production_and_yields
1997,600.0,4500.0,40.0,7500.0,Radish,aggregated_radishes_production_and_yields
1998,430.0,2235.0,49.6644295302013,5197.674418604652,Radish,aggregated_radishes_production_and_yields
1999,430.0,2620.0,52.29007633587786,6093.023255813953,Radish,aggregated_radishes_production_and_yields
2000,540.0,1610.0,73.6024844720497,2981.4814814814813,Radish,aggregated_radishes_production_and_yields
2001,625.0,3100.0,68.70967741935485,4960.0,Radish,aggregated_radishes_production_and_yields
2002,450.0,3150.0,46.34920634920635,7000.0,Radish,aggregated_radishes_production_and_yields
2003,620.0,5300.0,32.54716981132076,8548.387096774193,Radish,aggregated_radishes_production_and_yields
2004,650.0,3200.0,59.375,4923.076923076924,Radish,aggregated_radishes_production_and_yields
2005,430.0,2700.0,53.70370370370371,6279.06976744186,Radish,aggregated_radishes_production_and_yields
2006,,,,,Radish,aggregated_radishes_production_and_yields
2007,330.0,3800.0,42.10526315789473,11515.151515151516,Radish,aggregated_radishes_production_and_yields
2008,315.0,4195.0,32.30035756853397,13317.460317460318,Radish,aggregated_radishes_production_and_yields
2009,,,,,Radish,aggregated_radishes_production_and_yields
2010,327.0,4680.0,35.79059829059829,14311.926605504586,Radish,aggregated_radishes_production_and_yields
2011,256.0,3002.0,43.83744170552964,11726.5625,Radish,aggregated_radishes_production_and_yields
2012,343.0,3588.0,32.74804905239688,10460.641399416909,Radish,aggregated_radishes_production_and_yields
2013,362.0,6370.0,36.82888540031397,17596.68508287293,Radish,aggregated_radishes_production_and_yields
2014,434.0,6706.0,44.542201014017294,15451.612903225807,Radish,aggregated_radishes_production_and_yields
2015,406.0,7966.0,35.11172483052975,19620.689655172413,Radish,aggregated_radishes_production_and_yields
2016,492.0,5964.0,35.04359490274983,12121.951219512195,Radish,aggregated_radishes_production_and_yields
2017,317.0,4738.0,30.603630223723087,14946.372239747634,Radish,aggregated_radishes_production_and_yields
2018,823.0,6435.0,25.687645687645688,7818.955042527339,Radish,aggregated_radishes_production_and_yields
2019,925.0,8923.0,26.90799058612574,9646.486486486487,Radish,aggregated_radishes_production_and_yields
2020,923.0,9186.0,50.707598519486176,9952.329360780064,Radish,aggregated_radishes_production_and_yields
2021,598.0,4929.0,63.907486305538654,8242.47491638796,Radish,aggregated_radishes_production_and_yields
2022,595.0,5347.0,65.55077613615111,8986.55462184874,Radish,aggregated_radishes_production_and_yields
2023,597.0,5930.0,68.97133220910624,9932.998324958124,Radish,aggregated_radishes_production_and_yields
2024,593.0,5346.0,42.181069958847736,9015.177065767284,Radish,aggregated_radishes_production_and_yields
2025,596.0,5449.0,45.54964213617178,9142.617449664429,Radish,aggregated_radishes_production_and_yields
