Year,Harvested Area (acres),Marketed Production ('000 lbs),Average Price (cents/lb),Average Yield (lbs/acre),Farm Value ($'000),Vegetable,Dataset
1979,44240.0,425024.0,3.34098780304171,9607.23327305606,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1980,42982.0,395418.0,3.805340171666439,9199.618444930436,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1981,42694.0,408566.0,4.474087417944713,9569.635077528459,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1982,47123.0,454626.0,4.695947878036012,9647.64552341744,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1983,41722.0,354466.0,5.430929905830178,8495.90144288385,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1984,45142.0,434442.0,5.0653021577103505,9623.897922112445,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1985,47105.0,421604.0,5.961186326505441,8950.302515656513,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1986,45231.0,383326.0,7.121275363528694,8474.851318785788,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1987,53162.0,492518.0,6.358386901595475,9264.47462473195,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1988,58109.0,445264.0,7.7874249883215345,7662.565179232133,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1989,54727.0,473312.0,8.688771888310459,8648.601238876605,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1990,50260.0,440800.0,9.412885662431941,8770.393951452448,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1991,48241.0,385880.0,9.96035036799005,7999.0049957505025,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1992,50110.0,427794.0,7.7287198978947815,8537.098383556175,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1993,40655.0,329126.0,7.585544745781251,8095.584798917722,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1994,43343.0,434865.0,6.717027123360124,10033.107998984842,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1995,44405.0,420935.0,6.7361944243172935,9479.450512329693,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1996,48100.0,478030.0,7.206660669832438,9938.253638253638,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1997,46880.0,474000.0,5.175105485232068,10110.921501706485,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1998,44830.0,462875.0,5.383742911153119,10325.117109078741,,Sweet Corn,aggregated_sweet_corn_production_and_yields
1999,46100.0,426015.0,5.8425172822553195,9241.106290672451,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2000,43120.0,329326.0,5.524920595397873,7637.430426716141,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2001,46065.0,399805.0,5.2915796450769745,8679.149028546619,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2002,42000.0,365200.0,6.090909090909091,8695.238095238095,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2003,43140.0,463340.0,5.40963439374973,10740.380157626334,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2004,36490.0,391820.0,5.931805420856516,10737.736366127705,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2005,34160.0,373680.0,6.092646114322415,10939.110070257611,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2006,35126.0,392808.0,8.653846153846153,11182.827535159142,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2007,33400.0,360000.0,7.083333333333333,10778.443113772455,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2008,26000.0,260000.0,10.76923076923077,10000.0,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2009,22230.0,247830.0,14.521647903805027,11148.448043184886,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2010,22105.0,245288.0,11.758830436058837,11096.494005881023,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2011,25505.0,265806.0,13.152449530860855,10421.72123113115,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2012,23829.0,249276.0,13.522360756751553,10461.034873473498,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2013,23204.0,240426.0,15.443421260595777,10361.403206343733,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2014,22186.0,265463.0,14.224204503075757,11965.338501757866,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2015,22661.0,259352.0,15.517906166137141,11444.861215303827,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2016,22270.0,219522.0,15.674055447745555,9857.296811854512,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2017,19003.0,226992.0,16.676358638189893,11945.061306109561,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2018,19022.0,222834.0,16.5,11714.541057722638,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2019,18374.0,220895.0,16.3525656986351,12022.150865353216,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2020,19281.0,245778.0,17.342072927601333,12747.16041699082,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2021,19937.0,238926.0,17.79295681508082,11984.049756733712,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2022,19825.0,243155.0,17.50858505891304,12265.069356872635,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2023,20113.0,241144.0,17.98883654579836,11989.459553522598,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2024,19891.0,233526.0,17.897792965237276,11740.28455080187,,Sweet Corn,aggregated_sweet_corn_production_and_yields
2025,18891.0,241599.0,20.243047363606635,12789.105923455614,,Sweet Corn,aggregated_sweet_corn_production_and_yields
