Year,Harvested Area (acres),Marketed Production ('000 lbs),Average Price (cents/lb),Average Yield (lbs/acre),Vegetable,Dataset
1979,25770.0,962885.0,4.848554084859562,37364.57120682964,Tomato,aggregated_tomato_production_and_yields
1980,27027.0,878827.0,5.089056207877091,32516.63151663152,Tomato,aggregated_tomato_production_and_yields
1981,29902.0,1039491.0,5.589581824181257,34763.25998260986,Tomato,aggregated_tomato_production_and_yields
1982,30601.0,1101665.0,6.024989447790389,36000.94768144831,Tomato,aggregated_tomato_production_and_yields
1983,32326.0,915416.0,6.541517736198624,28318.257749180226,Tomato,aggregated_tomato_production_and_yields
1984,35126.0,1280389.0,6.836781634331442,36451.31811193988,Tomato,aggregated_tomato_production_and_yields
1985,31581.0,1148043.0,6.822409961996197,36352.33209841361,Tomato,aggregated_tomato_production_and_yields
1986,31786.0,1149028.0,7.052656680254963,36148.87057194991,Tomato,aggregated_tomato_production_and_yields
1987,31524.0,1198528.0,6.581431556042079,38019.54066742799,Tomato,aggregated_tomato_production_and_yields
1988,37060.0,1249583.0,7.015564392281265,33717.83594171614,Tomato,aggregated_tomato_production_and_yields
1989,34302.0,1251398.0,7.085755291282229,36481.7794880765,Tomato,aggregated_tomato_production_and_yields
1990,32330.0,1324044.0,6.585883852802475,40954.036498608104,Tomato,aggregated_tomato_production_and_yields
1991,26277.0,996650.0,7.59715045402097,37928.60676637363,Tomato,aggregated_tomato_production_and_yields
1992,24740.0,945526.0,7.989944221523258,38218.51253031528,Tomato,aggregated_tomato_production_and_yields
1993,24615.0,1161895.0,8.345074210664475,47202.72191752996,Tomato,aggregated_tomato_production_and_yields
1994,25165.0,1297364.0,7.402779790405776,51554.301609378104,Tomato,aggregated_tomato_production_and_yields
1995,23795.0,1291750.0,6.74085542868202,54286.614835049375,Tomato,aggregated_tomato_production_and_yields
1996,21655.0,1224435.0,6.131807731729328,56542.83075502193,Tomato,aggregated_tomato_production_and_yields
1997,20300.0,1088860.0,6.438844295869075,53638.423645320196,Tomato,aggregated_tomato_production_and_yields
1998,17385.0,1123600.0,6.212798148807405,64630.428530342244,Tomato,aggregated_tomato_production_and_yields
1999,19066.0,1089880.0,6.302161705875877,57163.537186614914,Tomato,aggregated_tomato_production_and_yields
2000,18048.0,900980.0,6.295700237519146,49921.32092198582,Tomato,aggregated_tomato_production_and_yields
2001,19381.0,1066880.0,6.124962507498501,55047.727155461536,Tomato,aggregated_tomato_production_and_yields
2002,19726.0,1237660.0,5.818641630173069,62742.573253573966,Tomato,aggregated_tomato_production_and_yields
2003,17363.0,1082060.0,5.919172689129993,62319.875597534985,Tomato,aggregated_tomato_production_and_yields
2004,18264.0,1303780.0,5.531454693276474,71385.23872098116,Tomato,aggregated_tomato_production_and_yields
2005,18929.0,1301220.0,5.9575629025068775,68742.14168735803,Tomato,aggregated_tomato_production_and_yields
2006,18126.0,1251480.0,6.186515166043405,69043.36312479312,Tomato,aggregated_tomato_production_and_yields
2007,17897.0,1241954.0,5.980092660436699,69394.53539699392,Tomato,aggregated_tomato_production_and_yields
2008,17208.0,1227736.0,5.678256563300253,71346.81543468154,Tomato,aggregated_tomato_production_and_yields
2009,14956.0,1089664.0,7.480379272876776,72857.98341802621,Tomato,aggregated_tomato_production_and_yields
2010,15035.0,1027448.0,6.573374029634589,68337.08014632523,Tomato,aggregated_tomato_production_and_yields
2011,15467.0,954830.0,6.991296880072892,61733.36781534881,Tomato,aggregated_tomato_production_and_yields
2012,14551.0,1162176.0,6.395933146098354,79869.14988660574,Tomato,aggregated_tomato_production_and_yields
2013,13361.0,757944.0,6.998142342969929,56728.089214879124,Tomato,aggregated_tomato_production_and_yields
2014,11755.0,802466.0,8.283715447134208,68265.9293917482,Tomato,aggregated_tomato_production_and_yields
2015,14201.0,912813.0,8.096839111625274,64278.07900852053,Tomato,aggregated_tomato_production_and_yields
2016,15343.0,1073276.0,8.63254186248458,69952.16059440788,Tomato,aggregated_tomato_production_and_yields
2017,13408.0,1029600.0,9.061091686091686,76789.97613365155,Tomato,aggregated_tomato_production_and_yields
2018,13802.0,1080464.0,8.28,78283.14736994638,Tomato,aggregated_tomato_production_and_yields
2019,13138.0,1035109.0,8.814047602716235,78787.41056477393,Tomato,aggregated_tomato_production_and_yields
2020,13199.0,1057442.0,9.341126983796748,80115.31176604288,Tomato,aggregated_tomato_production_and_yields
2021,14189.0,953229.0,9.730505471402989,67180.84431601946,Tomato,aggregated_tomato_production_and_yields
2022,14189.0,1271123.0,9.68946356882851,89585.1011346818,Tomato,aggregated_tomato_production_and_yields
2023,14434.0,1178663.0,11.686376852416679,81658.79174172094,Tomato,aggregated_tomato_production_and_yields
2024,13998.0,1154281.0,11.654787699009168,82460.42291755966,Tomato,aggregated_tomato_production_and_yields
2025,15390.0,1403920.0,11.037523505612855,91222.87199480183,Tomato,aggregated_tomato_production_and_yields
